mso:basketball.team_stats	mso:basketball.team_stats.three_fga	mso:type.decimal
experimental:fb_schema_staging.app	experimental:fb_schema_staging.app.variants	experimental:fb_schema_staging.app_variant
mso:business.competitive_space_mediator	mso:business.competitive_space_mediator.brand	mso:commerce.brand
mso:event.download_action	mso:event.download_action.source	mso:computer.computer
mso:conferences.conference_series	mso:conferences.conference_series.conference_subject	mso:media_common.subject
mso:location.location	mso:location.location.getting_around	mso:type.text
mso:type.triple	mso:type.triple.source	mso:type.text
mso:medicine.physician	mso:medicine.physician.insurance_accepted	mso:type.text
mso:location.power_station	mso:location.power_station.capacity_factor	mso:measurement_unit.dated_float
mso:sports.athlete	mso:sports.athlete.games	mso:sports.game
experimental:fb_schema_staging.coach_athlete_relationship	experimental:fb_schema_staging.coach_athlete_relationship.to	mso:type.datetime
mso:chemistry.electron_affinity	mso:chemistry.electron_affinity.affinity_value	mso:type.decimal
mso:automotive.body_style	mso:automotive.body_style.curb_weight	mso:type.decimal
mso:sports.multi_event_tournament	mso:sports.multi_event_tournament.participating_country	mso:location.country
mso:boats.ship_class	mso:boats.ship_class.length_at_waterline_meters	mso:type.decimal
mso:exhibitions.exhibition	mso:exhibitions.exhibition.exhibit	mso:exhibitions.exhibit
mso:biology.organism_part	mso:biology.organism_part.associated_pathophysiology	mso:type.text
mso:rail.railway_operator_relationship	mso:rail.railway_operator_relationship.railway	mso:rail.railway
experimental:fb_schema_staging.comedy_group	experimental:fb_schema_staging.comedy_group.genres	experimental:fb_schema_staging.comedy_genre
mso:tv.episode_song_relationship	mso:tv.episode_song_relationship.song	mso:music.composition
mso:education.athletics_brand	mso:education.athletics_brand.fight_song	mso:music.composition
mso:cricket.player	mso:cricket.player.batting_style	mso:sports.handedness
mso:american_football.player	mso:american_football.player.current_team	mso:american_football.roster_position
mso:engineering.power_plug_standard	mso:engineering.power_plug_standard.grounded	mso:type.boolean
mso:award.recurring_competition	mso:award.recurring_competition.recurring_categories	mso:award.category_ceremony_type
mso:american_football.player	mso:american_football.player.punting_total_yards	mso:type.decimal
mso:local.entity	local:local.entity.number_of_reviews	mso:type.decimal
mso:engineering.power_plug_standard	mso:engineering.power_plug_standard.polarised	mso:type.boolean
mso:food.bottled_water	mso:food.bottled_water.bicarbonate_content	mso:type.decimal
mso:royalty.chivalric_order_position_tenure	mso:royalty.chivalric_order_position_tenure.order	mso:royalty.order_of_chivalry
mso:astronomy.planetographic_coordinate	mso:astronomy.planetographic_coordinate.coordinate_system	mso:astronomy.planetographic_coordinate_system
mso:american_football.player	mso:american_football.player.interception_touchdown	mso:type.decimal
experimental:fb_schema_staging.book_refactor_written_work	experimental:fb_schema_staging.book_refactor_written_work.part_of_series	mso:book.literary_series
mso:measurement_unit.permeability_unit	mso:measurement_unit.permeability_unit.permeability_in_henries_per_meter	mso:type.decimal
mso:location.nuclear_power_plant	mso:location.nuclear_power_plant.reactor_type	mso:engineering.reactor_type
mso:commerce.dishwasher	productsearch:commerce.dishwasher.installable_under_sink	mso:type.string
mso:spaceflight.rocket_engine	mso:spaceflight.rocket_engine.thrust_vacuum	mso:type.decimal
experimental:fb_schema_staging.election_results	experimental:fb_schema_staging.election_results.reporting_units	mso:type.decimal
mso:people.person	mso:people.person.waist_measurement	mso:type.decimal
mso:cricket.player	mso:cricket.player.odi_stumps	mso:type.decimal
mso:finance.accounting_metric_percentage	mso:finance.accounting_metric_percentage.percent	mso:measurement_unit.dated_percentage
mso:automotive.option	mso:automotive.option.option_packages	mso:automotive.option_package
mso:education.cost	mso:education.cost.domestic_tuition	mso:measurement_unit.dated_money_value
mso:book.edition	mso:book.edition.OCLC_number	mso:type.string
mso:architecture.structure	mso:architecture.structure.closed	mso:type.datetime
mso:application.app	mso:application.app.app_store	mso:application.app_store
mso:astronomy.apparent_mass	mso:astronomy.apparent_mass.uncertainty	mso:type.decimal
experimental:fb_schema_staging.cricket_player_stats_extra	experimental:fb_schema_staging.cricket_player_stats_extra.ten_for	mso:type.decimal
mso:geography.waterfall	mso:geography.waterfall.longest_height	mso:type.decimal
mso:automotive.trim_level	mso:automotive.trim_level.length_in_mm	mso:type.decimal
mso:business.holding	mso:business.holding.currency	mso:finance.currency
mso:astronomy.astronomical_discovery	mso:astronomy.astronomical_discovery.discoverer	mso:astronomy.astronomer
mso:book.contents	mso:book.contents.page_number	mso:type.text
mso:book.scholarly_work	mso:book.scholarly_work.subdomain	mso:book.subdomain
mso:local.entity	mso:local.entity.phone_number	mso:common.phone_number
mso:award.competition	mso:award.competition.instance_of_recurring_competition	mso:award.recurring_competition
mso:finance.expense_relationship	mso:finance.expense_relationship.dated_expense_value	mso:measurement_unit.dated_money_value
mso:business.employer	mso:business.employer.number_of_part_time_employees	mso:measurement_unit.dated_float
mso:biology.gene_ontology_data_source	mso:biology.gene_ontology_data_source.source_path	mso:type.string
mso:automotive.automotive_class	mso:automotive.automotive_class.height	mso:type.decimal
mso:medicine.cancer_center	mso:medicine.cancer_center.constituent	mso:medicine.cancer_center_constituent
experimental:fb_schema_staging.star_system_body_extra	experimental:fb_schema_staging.star_system_body_extra.average_surface_temperature	mso:type.decimal
mso:astronomy.telescope	mso:astronomy.telescope.telescope_type	mso:astronomy.telescope_type
experimental:fb_schema_staging.median_lethal_dose	experimental:fb_schema_staging.median_lethal_dose.dose	mso:type.decimal
mso:boats.nuclear_powerplant	mso:boats.nuclear_powerplant.power_kw	mso:type.decimal
mso:amusement_parks.ride	mso:amusement_parks.ride.ride_type	mso:amusement_parks.ride_type
mso:government.government_agreement	mso:government.government_agreement.date_signed	mso:type.datetime
experimental:fb_schema_staging.election_results	experimental:fb_schema_staging.election_results.eligible_voters	mso:type.decimal
mso:sports.sports_team_roster	mso:sports.sports_team_roster.appearances	mso:type.decimal
mso:spaceflight.spacecraft	mso:spaceflight.spacecraft.beginning_of_life_mass	mso:type.decimal
experimental:fb_schema_staging.sumo_wrestler	experimental:fb_schema_staging.sumo_wrestler.lifetime_wins	mso:type.decimal
mso:automotive.trim_level	mso:automotive.trim_level.cargo_volume_in_cbm	mso:type.decimal
experimental:event_model.event_type_subevent_relationship	experimental:event_model.event_type_subevent_relationship.subevent_type	experimental:event_model.event_type
mso:film.festival	mso:film.festival.focus	mso:media_common.subject
mso:comic_books.issue	mso:comic_books.issue.print_run	mso:type.decimal
mso:cricket.match	mso:cricket.match.date	mso:measurement_unit.time_interval
mso:automotive.body_style	mso:automotive.body_style.generation	mso:automotive.generation
mso:book.scholarly_work	mso:book.scholarly_work.financial_support_provided_by	mso:book.scholarly_financial_support
mso:astronomy.star_system	mso:astronomy.star_system.plutoid	mso:astronomy.plutoid
mso:american_football.player	mso:american_football.player.passing_attempts	mso:type.decimal
mso:award.judging_term	mso:award.judging_term.year	mso:type.datetime
mso:visual_art.artwork	mso:visual_art.artwork.period_or_movement	mso:visual_art.art_period_movement
mso:engineering.engine_category	mso:engineering.engine_category.engine	mso:engineering.engine
mso:sports.surfer	mso:sports.surfer.stance	mso:type.text
mso:cricket.bowling_pace	mso:cricket.bowling_pace.min_speed_kmph	mso:type.decimal
mso:rail.steam_locomotive_class	mso:rail.steam_locomotive_class.cylinders	mso:type.decimal
mso:book.written_work	mso:book.written_work.lexile_text_measure	mso:type.string
mso:aviation.airline_alliance	mso:aviation.airline_alliance.number_of_non_voting_members	mso:measurement_unit.dated_float
mso:architecture.structure	mso:architecture.structure.height_meters	mso:type.decimal
mso:commerce.air_purifier	productsearch:commerce.air_purifier.removes_mold	mso:type.string
experimental:fb_schema_staging.tv_episode_dubbing_performance	experimental:fb_schema_staging.tv_episode_dubbing_performance.actor	experimental:fb_schema_staging.tv_actor_extra
mso:commerce.electronics_product	mso:commerce.electronics_product.broadband_generation	mso:type.string
mso:engineering.battery_size_cell_variation	mso:engineering.battery_size_cell_variation.size	mso:engineering.battery_size
mso:award.honor	mso:award.honor.category	mso:award.category
mso:people.sibling_relationship	mso:people.sibling_relationship.sibling	mso:people.person
mso:commerce.digital_camera	mso:commerce.digital_camera.max_resolution	mso:commerce.digital_camera_resolution
mso:commerce.consumer_product	mso:commerce.consumer_product.purchase_link	mso:common.webpage
mso:book.magazine	mso:book.magazine.place_of_publication	mso:book.place_of_publication_period
mso:application.software	mso:application.software.icon	mso:common.image
mso:film.release	mso:film.release.type	mso:film.release_type
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.biology	mso:type.text
mso:architecture.architect	mso:architecture.architect.style	mso:architecture.style
mso:commerce.consumer_product	mso:commerce.consumer_product.availability	mso:commerce.product_availability
mso:military.combatant	mso:military.combatant.force_deployments	mso:military.force_strength
mso:computer.emulator	mso:computer.emulator.peripheral_class	mso:computer.peripheral_class
mso:government.poll_respondent_category	mso:government.poll_respondent_category.poll	mso:government.election_poll
mso:astronomy.meteorite	mso:astronomy.meteorite.meteorite_surface_crater_earth	mso:type.boolean
mso:chemistry.chemical_element	mso:chemistry.chemical_element.atomic_number	mso:type.decimal
mso:organization.organization	conflation:organization.organization.issue_symbol	mso:type.string
mso:cricket.roster	mso:cricket.roster.fall_of_wicket	mso:cricket.fall_of_wicket
mso:boats.ship_class	mso:boats.ship_class.displacement_tons	mso:type.decimal
mso:biology.fossil_specimen	mso:biology.fossil_specimen.organism_classification	mso:biology.organism_classification
mso:organization.organization	conflation:organization.organization.issue_exchange_symbol	mso:type.string
mso:real_estate.house	mso:real_estate.house.days_on_listing_source	mso:real_estate.days_on_market_relationship
mso:award.category_ceremony_type	mso:award.category_ceremony_type.category	mso:award.category
mso:book.serial_installment	mso:book.serial_installment.installment_number	mso:type.decimal
mso:education.educational_institution	mso:education.educational_institution.student_radio_station	mso:education.student_radio_station
mso:aviation.waypoint_type	mso:aviation.waypoint_type.waypoints_of_this_type	mso:aviation.aviation_waypoint
experimental:fb_schema_staging.sumo_wrestler	experimental:fb_schema_staging.sumo_wrestler.lifetime_losses	mso:type.decimal
experimental:fb_schema_staging.serving_size	experimental:fb_schema_staging.serving_size.location	mso:location.location
mso:american_football.player	mso:american_football.player.punt_touchdowns	mso:type.decimal
mso:commerce.electronics_product	mso:commerce.electronics_product.video_format	mso:type.string
mso:book.work_author_relationship	mso:book.work_author_relationship.scholarly_work	mso:book.scholarly_work
mso:statistics.economic_group	mso:statistics.economic_group.diesel_fuel_price	mso:measurement_unit.dated_money_value
mso:conferences.conference	mso:conferences.conference.proceedings	mso:conferences.conference_proceedings
mso:religion.deity	mso:religion.deity.text	mso:religion.religious_text
